iter	Logloss
0	0.6392261805
1	0.5919716362
2	0.5604667193
3	0.5342085052
4	0.5146084946
5	0.4957108983
6	0.4846689266
7	0.4748321022
8	0.4660355694
9	0.4567680331
10	0.4502066006
11	0.4439800715
12	0.439694482
13	0.435032567
14	0.431110875
15	0.4262487888
16	0.4181308553
17	0.414281295
18	0.4116708377
19	0.4087357061
20	0.4056650427
21	0.4028167866
22	0.400116126
23	0.3974073453
24	0.3917885219
25	0.3904605016
26	0.3879130692
27	0.3862465739
28	0.3848287905
29	0.383086729
30	0.3808577882
31	0.3786109982
32	0.3773027539
33	0.3744833863
34	0.373523642
35	0.3715837218
36	0.3694081019
37	0.3668830828
38	0.3655597884
39	0.3636687116
40	0.3620525027
41	0.3604396342
42	0.3584431732
43	0.3572069699
44	0.356644431
45	0.3552026384
46	0.3540380993
47	0.3527109276
48	0.351825752
49	0.3509807943
50	0.3499415904
51	0.3480602521
52	0.3471668805
53	0.346220239
54	0.3450698879
55	0.3439218555
56	0.3433693093
57	0.341950696
58	0.3399887326
59	0.3389546602
60	0.3381987324
61	0.3371710474
62	0.3362978304
63	0.3348170424
64	0.3341081935
65	0.3329978897
66	0.3324108293
67	0.331486296
68	0.330755337
69	0.3298014513
70	0.3291069086
71	0.327721026
72	0.3267886643
73	0.325763413
74	0.3251773785
75	0.324275743
76	0.3234812488
77	0.3230704119
78	0.3220344135
79	0.3214177141
80	0.3205767327
81	0.319905044
82	0.3192110209
83	0.3186753459
84	0.3178291732
85	0.317339112
86	0.3167766067
87	0.3158768322
88	0.3152217964
89	0.3147107823
90	0.3140969131
91	0.3133718156
92	0.3126882329
93	0.3117238297
94	0.3106803463
95	0.3095225274
96	0.3086311169
97	0.3077354531
98	0.3072786633
99	0.3068515268
100	0.3059617635
101	0.3053554053
102	0.3047434985
103	0.3037804252
104	0.3032985997
105	0.3026100177
106	0.3020974448
107	0.3014559105
108	0.3006717902
109	0.2997720568
110	0.2992831122
111	0.2982419315
112	0.2978006186
113	0.2972787362
114	0.2964405819
115	0.2956683389
116	0.2948635388
117	0.2939114273
118	0.2933132202
119	0.2926450109
120	0.2919738059
121	0.291296798
122	0.2904289294
123	0.28985522
124	0.2894697445
125	0.2885956332
126	0.2880225465
127	0.2874653396
128	0.2865953195
129	0.2859737027
130	0.2853219988
131	0.284723808
132	0.2840870176
133	0.2836616562
134	0.2829758992
135	0.2823720997
136	0.2818746102
137	0.2815312946
138	0.2810894429
139	0.2802059342
140	0.2796552258
141	0.278996325
142	0.2783632245
143	0.277812465
144	0.277130482
145	0.276352009
146	0.2755709118
147	0.275121474
148	0.2746338608
149	0.274085781
150	0.2734745733
151	0.2728722159
152	0.2722966422
153	0.2716364574
154	0.2709930204
155	0.2701905042
156	0.2698613589
157	0.2691271334
158	0.2683211416
159	0.2679640583
160	0.2674544118
161	0.2671566816
162	0.2668012689
163	0.2662531839
164	0.265684267
165	0.265404672
166	0.2647569988
167	0.2642151669
168	0.2636598973
169	0.2631731057
170	0.2625725547
171	0.2620066028
172	0.2616224831
173	0.2610925574
174	0.2606551292
175	0.2601256733
176	0.2595144293
177	0.2589630802
178	0.2583873237
179	0.2579902255
180	0.2573696708
181	0.256746607
182	0.2563785508
183	0.2559285343
184	0.2556074103
185	0.2550822497
186	0.2545665066
187	0.2540956877
188	0.2538709106
189	0.2534230778
190	0.2527702948
191	0.2525440921
192	0.2519022688
193	0.2515345556
194	0.2510401162
195	0.2507526999
196	0.2504628575
197	0.2499857359
198	0.2495045413
199	0.2489041564
