iter	Passed	Remaining
0	57	11504
1	61	6089
2	64	4259
3	67	3331
4	71	2786
5	74	2417
6	77	2147
7	81	1948
8	84	1790
9	87	1665
10	91	1565
11	94	1476
12	97	1406
13	100	1340
14	104	1285
15	107	1238
16	111	1195
17	114	1157
18	117	1122
19	121	1096
20	126	1075
21	130	1053
22	133	1027
23	136	1003
24	140	983
25	143	962
26	147	942
27	150	924
28	153	906
29	157	891
30	160	876
31	163	860
32	167	846
33	170	833
34	174	820
35	177	809
36	181	798
37	184	786
38	187	775
39	190	763
40	194	754
41	197	744
42	201	734
43	204	725
44	208	717
45	211	707
46	214	699
47	218	691
48	221	682
49	225	675
50	228	667
51	231	659
52	235	653
53	239	646
54	242	639
55	246	632
56	249	625
57	253	619
58	256	612
59	259	606
60	263	600
61	266	593
62	269	587
63	273	581
64	277	575
65	280	569
66	283	563
67	287	557
68	290	551
69	294	546
70	297	540
71	301	535
72	304	530
73	308	524
74	311	519
75	315	515
76	319	509
77	322	504
78	326	500
79	330	495
80	333	490
81	337	485
82	340	480
83	344	476
84	349	472
85	353	468
86	356	463
87	360	458
88	363	453
89	367	448
90	370	444
91	374	439
92	378	435
93	381	430
94	385	426
95	389	421
96	392	416
97	396	412
98	399	407
99	403	403
100	407	399
101	411	395
102	415	391
103	419	386
104	422	382
105	426	378
106	430	373
107	434	369
108	438	365
109	442	361
110	446	357
111	450	353
112	454	349
113	457	345
114	461	341
115	465	336
116	468	332
117	472	328
118	476	324
119	480	320
120	484	316
121	487	311
122	491	307
123	495	303
124	499	299
125	503	295
126	507	291
127	511	287
128	515	283
129	519	279
130	522	275
131	527	271
132	531	267
133	535	263
134	538	259
135	542	255
136	546	251
137	550	247
138	553	242
139	557	238
140	561	235
141	565	230
142	568	226
143	572	222
144	576	218
145	580	214
146	584	210
147	588	206
148	591	202
149	595	198
150	598	194
151	602	190
152	605	186
153	609	182
154	613	177
155	616	173
156	620	169
157	623	165
158	626	161
159	630	157
160	634	153
161	638	149
162	641	145
163	644	141
164	648	137
165	652	133
166	656	129
167	659	125
168	663	121
169	667	117
170	671	113
171	675	109
172	679	106
173	682	102
174	686	98
175	690	94
176	693	90
177	696	86
178	700	82
179	704	78
180	707	74
181	711	70
182	715	66
183	718	62
184	722	58
185	725	54
186	728	50
187	732	46
188	736	42
189	739	38
190	743	35
191	747	31
192	750	27
193	754	23
194	758	19
195	761	15
196	765	11
197	769	7
198	772	3
199	776	0
